Floor,Price,City,Address,Road,Land,Bedroom,Bathroom,Face
1.5,16500000,Lalitpur,"Imadol, Lalitpur",13,1026.75,2,1,East
2.5,19500000,Lalitpur,"Imadol,Lalitpur",20,941.1875,4,3,East
2.5,23500000,Lalitpur,"Imadol,lalitpur",13,1026.75,4,3,East
1,23000000,Lalitpur,Imadole Cozy Home,13,1300,2,2,East
2,13000000,Lalitpur,Jharuwarashi,12,1625.68,3,2,West
2.5,21500000,Lalitpur,Khumaltar,12,1048.14,3,3,South
2.5,36500000,Lalitpur,Khumaltar,13,1155.09,3,4,East
2.5,39000000,Lalitpur,Khumaltar,16,1437.45,4,4,East
4,65000000,Lalitpur,Khumaltar,20,2053.5,5,4,East
2.5,310000000,Lalitpur,Kusunti,20,1433.17,4,4,South
3,41500000,Lalitpur,"Lalitpur Dhapakhel-23,Dhapaheight",16,3800,6,6,West
2.5,21000000,Lalitpur,Lamatar,13,1369,7,3,West
1,29000000,Lalitpur,Lubhu,20,1750,5,4,South
3.5,55000000,Lalitpur,Lubhu,16,2053.5,7,5,North east
2.5,19000000,Lalitpur,Lubhu mahalaxmi campus,13,1000,5,3,East
3,22500000,Lalitpur,Nakhipot,13,1060,4,4,West
2.5,23000000,Lalitpur,Nakhipot,16,1090.92,4,3,East
3,26500000,Lalitpur,Nakhipot,13,1197.875,5,4,North
3.5,57500000,Lalitpur,Nakhipot line,20,1500,5,6,East
3,28500000,Lalitpur,"Nakhipot, Kantipur Colony",22,1369,8,5,South
2.5,36000000,Lalitpur,"Nakhkhu, nakhu",13,1454.5625,4,5,South west
2.5,26000000,Lalitpur,Nayabasti,13,1069.53,5,4,North east
2.5,27500000,Lalitpur,Nayabasti,13,1197.87,5,4,East
2.5,32000000,Lalitpur,Nayabasti,20,1283.43,5,4,West
2.5,23500000,Lalitpur,"Near Golbhatta, Imadol",13,1026.75,4,4,South
5,35000000,Lalitpur,Pulchowk,22,491.98,4,5,East
3,28100000,Lalitpur,Rajkulo,13,1026.75,5,4,North
3,20800000,Lalitpur,Rajkulo,13,1060.975,5,5,North
2.5,21500000,Lalitpur,Sanagau,20,1026.75,4,3,North east
2.5,19900000,Lalitpur,Sanagaun,12,1069.53,8,4,East
2.5,32500000,Lalitpur,Sanagaun,13,1369,5,4,East
2.5,28000000,Lalitpur,Sanagaun,13,1967.93,5,3,East
2.5,41000000,Lalitpur,"Sanep, Jhamsikhel",10,1026.75,6,5,South east
2.5,30000000,Lalitpur,Sanepa,12,1411.78,6,5,East
2,75000000,Lalitpur,sanepa sanchal,20,3080.25,5,2,South
2.5,18500000,Lalitpur,Sanogaun,13,1197.875,5,3,East
3,21000000,Lalitpur,Satdobato,6,1369,8,3,East
2.5,19500000,Lalitpur,Shital Height,13,1026.75,4,4,North
2.5,22000000,Lalitpur,Siddipur,20,1026.75,4,3,North
3,28500000,Lalitpur,Thaiba,20,1369,4,5,South
2.5,19000000,Lalitpur,Thaiba,13,1454.56,4,4,east
1.5,11500000,Lalitpur,Tikathali,12,727.28,3,1,East
1,10900000,Lalitpur,Tikathali,13,812.84,2,1,North
1,13000000,Lalitpur,Tikathali,13,919.79,2,1,South
2.5,23000000,Lalitpur,Tikathali,13,1026.75,4,4,East
1,12200000,Lalitpur,Tikathali,12,1026.75,2,1,South
1,11200000,Lalitpur,Tikathali,13,1026.75,2,1,East
1,12000000,Lalitpur,Tikathali,13,1026.75,2,2,East
2.5,25000000,Lalitpur,Tikathali,13,1133.7,4,4,East
2.5,22500000,Lalitpur,Tikathali,13,1155.09,4,4,South
2.5,25000000,Lalitpur,Tikathali,13,1197.875,3,3,South west
2.5,23000000,Lalitpur,Tikathali,12,1197.875,6,4,South east
1,15500000,Lalitpur,Tikathali,13,1200,2,1,South
2.5,26000000,Lalitpur,Tikathali Pawan Prakriti Height,12,1882.37,5,3,West
2.5,25000000,Lalitpur,Toukhel,26,1369,3,4,East
3,35000000,Lalitpur,United colony,13,1882.375,5,4,West
3,35000000,Lalitpur,"United colony, changathali",13,1882.375,5,4,South east
